Ref,region,ST_L,St_G,Sn_L,Sn_G,Yr_L,Yr_G,Br_L,Pm_L,Pm_G,Fu_L,Bo_L,SM_E,ES,SES,TA
W101,N,2.1,0.8,0.7,0,0,0,0,0.8,1.4,1.8,0.2,0,0,6.9,0
W102,N,2,1.4,0.2,0,0,0,0,0,0.2,1.5,0.5,0,0,6.9,1.2
W103,N,2.4,0.5,0,0,0,0,0,0.7,0.6,0.7,0.8,0,0,1.4,0
W105,N,0.2,0.5,0,0,0,0,0,2,2.3,1,0.1,0,0,8.3,1.2
W106,N,1.8,0.3,0.2,0,0,0,0,2.1,1.3,1,0.4,0,0,11.4,0
W107,N,1.2,0.2,0.3,0,0,0,0,0.2,0.4,0.6,0.1,0,0,2.35,1.6
W108,N,2.9,0.7,0.8,0,0,0,0,0.1,0.2,0.8,0.4,0,0,1.4,8.9
W109,N,2.1,1.3,0,0,0,0,0,0,0.2,1.1,0.1,0,0,1.3,0.2
W110,N,2.2,1.7,0.4,0,0,0,0,0.5,1.1,1.2,0.3,0,0,1.3,0.6
W111,N,1.7,0.7,0,0,0,0,0,0.2,0.4,0.7,0.2,0,0,13.5,1.6
W112,N,2.2,0.2,0,0,0,0,0,0,0,0.9,0.2,0,0,0,4
W113,N,3.8,1.1,0.7,0,0,0,0,0,0.6,1.4,0.5,0,0,3.35,3.6
W114,N,0.6,0.3,0,0,0,0,0,0,0,0.9,0.6,0,0,6.74,0.4
W115,N,1.6,0.2,0.2,0,0,0,0,0,0,0.6,0.5,0,0,11.6,0.4
W116,N,2.9,2.3,0.6,0,0,0,0,0,0,2.2,0.1,0,0,2.9,6.8
W117,N,0.8,1.3,0,0,0,0,0,3.5,3.5,2.7,0.1,0,0,6.5,1.2
W118,N,0.2,0.7,0.2,0,0,0,0,0.1,0,1.5,0.3,0,0,0,0
W201,E,2,0,3,0,0,0,0,0,0,0,0,2,2,30,0
W202,E,1,0,1,0,0,0,0,2,1,1,1,1,25.3,9.3,0
W203,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0
W204,E,1,0,5,0,0,0,0,1,0,1,0,3,0,4.66,0
W205,E,0,0,0,0,0,0,0,0,0,0,0,0,12.6,15.3,0
W206,E,5,0,0,0,0,0,0,0,0,0,1,1,36.67,0,0
W207,E,2,0,0,0,0,0,0,0,0,1,1,1,8.67,12,0
W208,E,1,0,1,1,0,0,0,0,0,1,1,0,18.67,9.33,0
W209,E,1,0,0,0,0,0,0,1,1,1,0,1,10.67,0,0
W210,E,1,0,0,0,0,0,0,0,0,1,1,1,25.3,14.66,0
W211,E,5,0,1,0,0,0,0,0,0,1,1,1,0,0,0
W212,E,5,0,1,0,0,0,0,0,0,1,1,1,0,6.7,0
W213,E,2,0,1,1,0,0,0,0,0,1,1,1,15.3,5.3,0
W214,E,3,0,3,2,0,0,0,1,0,1,1,0,10.67,15.3,0
W401,W,5,3,0,0,0,0,0,0,0,1,1,2,6.00,9.33,0
W402,W,4,3,0,0,0,0,0,0,0,1,1,1,2.67,3.33,0
W403,W,7,3,0,0,0,0,0,0,0,1,1,1,12.00,0.00,0
W404,W,4,3,0,0,0,0,0,0,0,1,1,4,23.33,1.33,0
W405,W,5,3,0,0,0,0,0,0,0,1,1,2,2.67,1.33,0
W406,W,6,0,0,0,0,0,0,0,0,0,1,3,14.00,31.33,0
W407,W,4,0,0,0,0,0,0,0,0,2,0,0,1.33,13.33,22
W408,W,5,3,0,0,0,0,0,0,0,1,1,1,7.33,2.67,0
W409,W,7,2,1,1,0,0,0,0,0,1,1,1,0.00,1.33,0
W410,W,3,2,0,0,0,0,0,0,0,0,1,0,9.33,5.33,4.4
