Site reference number,region,amenity,arable,A_road,river,grass,msrsh,moor,railway,steadings,shelterbelt,uncult-ivated,urban,waste_ground,woodland,fence,hedge,farm_track,uncultivated_strip,wall,water
W101,N,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
W102,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
W103,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
W104,N,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
W105,N,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
W106,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
W107,N,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
W108,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
W109,N,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
W110,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
W111,N,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
W112,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
W113,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
W114,N,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
W115,N,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
W116,N,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
W117,N,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
W118,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
W201,E,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0
W202,E,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0
W203,E,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0
W204,E,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1
W205,E,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
W206,E,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
W207,E,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0
W208,E,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0
W209,E,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1
W210,E,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0
W211,E,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1
W212,E,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
W213,E,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
W214,E,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0
W301,E,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
W302,E,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0
W303,E,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0
W304,E,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
W305,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W306,E,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
W307,E,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0
W308,E,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
W309,E,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0
W310,E,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0
W311,E,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
W312,E,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0
W401,W,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1
W402,W,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
W403,W,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0
W404,W,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0
W405,W,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
W406,W,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0
W407,W,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0
W408,W,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
W409,W,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1
W410,W,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1
